"ObjectId","Bundesland","Infektionen","Todesfälle","Letalitätsrate","Aktualisiert"
"1","Schleswig-Holstein","5235","162","0.0","2020-10-11"
"2","Hamburg","8912","277","0.0","2020-10-11"
"3","Niedersachsen","22662","697","0.0","2020-10-11"
"4","Bremen","3058","60","0.0","2020-10-11"
"5","Nordrhein-Westfalen","79179","1911","0.0","2020-10-11"
"6","Hessen","21911","560","0.0","2020-10-11"
"7","Rheinland-Pfalz","11904","256","0.0","2020-10-11"
"8","Baden-Württemberg","53868","1901","0.0","2020-10-11"
"9","Bayern","72843","2685","0.0","2020-10-11"
"10","Saarland","3673","177","0.0","2020-10-11"
"11","Berlin","17828","234","0.0","2020-10-11"
"12","Brandenburg","4740","169","0.0","2020-10-11"
"13","Mecklenburg-Vorpommern","1373","20","0.0","2020-10-11"
"14","Sachsen","8340","247","0.0","2020-10-11"
"15","Sachsen-Anhalt","2903","68","0.0","2020-10-11"
"16","Thüringen","4435","191","0.0","2020-10-11"
