"ObjectId","Landkreis","Bundesland","Infektionen","Todesfälle","Letalitätsrate","Aktualisiert"
"1","Flensburg","Schleswig-Holstein","136","3","2.20588235294118","2020-10-11"
"2","Kiel","Schleswig-Holstein","484","12","2.47933884297521","2020-10-11"
"3","Lübeck","Schleswig-Holstein","326","1","0.306748466257669","2020-10-11"
"4","Neumünster","Schleswig-Holstein","178","3","1.68539325842697","2020-10-11"
"5","Dithmarschen","Schleswig-Holstein","248","5","2.01612903225806","2020-10-11"
"6","Herzogtum Lauenburg","Schleswig-Holstein","377","18","4.77453580901857","2020-10-11"
"7","Nordfriesland","Schleswig-Holstein","155","2","1.29032258064516","2020-10-11"
"8","Ostholstein","Schleswig-Holstein","159","0","0.0","2020-10-11"
"9","Pinneberg","Schleswig-Holstein","931","47","5.04833512352309","2020-10-11"
"10","Plön","Schleswig-Holstein","170","8","4.70588235294118","2020-10-11"
"11","Rendsburg-Eckernförde","Schleswig-Holstein","388","14","3.60824742268041","2020-10-11"
"12","Schleswig-Flensburg","Schleswig-Holstein","212","4","1.88679245283019","2020-10-11"
"13","Segeberg","Schleswig-Holstein","539","7","1.2987012987013","2020-10-11"
"14","Steinburg","Schleswig-Holstein","238","3","1.26050420168067","2020-10-11"
"15","Stormarn","Schleswig-Holstein","694","35","5.04322766570605","2020-10-11"
"16","Hamburg","Hamburg","8912","277","3.10816876122083","2020-10-11"
"17","Braunschweig","Niedersachsen","543","18","3.31491712707182","2020-10-11"
"18","Salzgitter","Niedersachsen","275","10","3.63636363636364","2020-10-11"
"19","Wolfsburg","Niedersachsen","457","54","11.8161925601751","2020-10-11"
"20","Gifhorn","Niedersachsen","269","5","1.85873605947955","2020-10-11"
"21","Goslar","Niedersachsen","321","27","8.41121495327103","2020-10-11"
"22","Helmstedt","Niedersachsen","176","2","1.13636363636364","2020-10-11"
"23","Northeim","Niedersachsen","194","6","3.09278350515464","2020-10-11"
"24","Peine","Niedersachsen","312","12","3.84615384615385","2020-10-11"
"25","Wolfenbüttel","Niedersachsen","242","14","5.78512396694215","2020-10-11"
"26","Göttingen","Niedersachsen","1490","81","5.43624161073826","2020-10-11"
"27","Region Hannover","Niedersachsen","4748","133","2.80117944397641","2020-10-11"
"28","Diepholz","Niedersachsen","688","27","3.92441860465116","2020-10-11"
"29","Hameln-Pyrmont","Niedersachsen","247","7","2.83400809716599","2020-10-11"
"30","Hildesheim","Niedersachsen","630","10","1.58730158730159","2020-10-11"
"31","Holzminden","Niedersachsen","138","7","5.07246376811594","2020-10-11"
"32","Nienburg (Weser)","Niedersachsen","135","4","2.96296296296296","2020-10-11"
"33","Schaumburg","Niedersachsen","332","7","2.10843373493976","2020-10-11"
"34","Celle","Niedersachsen","337","15","4.45103857566766","2020-10-11"
"35","Cuxhaven","Niedersachsen","445","21","4.71910112359551","2020-10-11"
"36","Harburg","Niedersachsen","911","17","1.86608122941822","2020-10-11"
"37","Lüchow-Dannenberg","Niedersachsen","47","3","6.38297872340426","2020-10-11"
"38","Lüneburg","Niedersachsen","267","0","0.0","2020-10-11"
"39","Osterholz","Niedersachsen","209","0","0.0","2020-10-11"
"40","Rotenburg (Wümme)","Niedersachsen","339","3","0.884955752212389","2020-10-11"
"41","Heidekreis","Niedersachsen","134","2","1.49253731343284","2020-10-11"
"42","Stade","Niedersachsen","388","9","2.31958762886598","2020-10-11"
"43","Uelzen","Niedersachsen","104","0","0.0","2020-10-11"
"44","Verden","Niedersachsen","403","8","1.98511166253102","2020-10-11"
"45","Delmenhorst","Niedersachsen","248","4","1.61290322580645","2020-10-11"
"46","Emden","Niedersachsen","48","0","0.0","2020-10-11"
"47","Oldenburg (Oldb)","Niedersachsen","327","3","0.917431192660551","2020-10-11"
"48","Osnabrück","Niedersachsen","806","18","2.23325062034739","2020-10-11"
"49","Wilhelmshaven","Niedersachsen","68","1","1.47058823529412","2020-10-11"
"50","Ammerland","Niedersachsen","244","5","2.04918032786885","2020-10-11"
"51","Aurich","Niedersachsen","261","9","3.44827586206897","2020-10-11"
"52","Cloppenburg","Niedersachsen","858","1","0.116550116550117","2020-10-11"
"53","Emsland","Niedersachsen","954","25","2.62054507337526","2020-10-11"
"54","Friesland","Niedersachsen","118","2","1.69491525423729","2020-10-11"
"55","Grafschaft Bentheim","Niedersachsen","397","18","4.53400503778338","2020-10-11"
"56","Leer","Niedersachsen","288","6","2.08333333333333","2020-10-11"
"57","Oldenburg","Niedersachsen","554","14","2.52707581227437","2020-10-11"
"58","Osnabrück","Niedersachsen","1592","67","4.20854271356784","2020-10-11"
"59","Vechta","Niedersachsen","796","14","1.75879396984925","2020-10-11"
"60","Wesermarsch","Niedersachsen","239","8","3.34728033472803","2020-10-11"
"61","Wittmund","Niedersachsen","83","0","0.0","2020-10-11"
"62","Bremen","Bremen","2768","54","1.95086705202312","2020-10-11"
"63","Bremerhaven","Bremen","290","6","2.06896551724138","2020-10-11"
"64","Düsseldorf","Nordrhein-Westfalen","3599","52","1.44484579049736","2020-10-11"
"65","Duisburg","Nordrhein-Westfalen","3207","75","2.33863423760524","2020-10-11"
"66","Essen","Nordrhein-Westfalen","2482","49","1.97421434327156","2020-10-11"
"67","Krefeld","Nordrhein-Westfalen","1077","28","2.59981429897864","2020-10-11"
"68","Mönchengladbach","Nordrhein-Westfalen","1183","51","4.31107354184277","2020-10-11"
"69","Mülheim an der Ruhr","Nordrhein-Westfalen","678","15","2.21238938053097","2020-10-11"
"70","Oberhausen","Nordrhein-Westfalen","672","14","2.08333333333333","2020-10-11"
"71","Remscheid","Nordrhein-Westfalen","622","19","3.05466237942122","2020-10-11"
"72","Solingen","Nordrhein-Westfalen","770","13","1.68831168831169","2020-10-11"
"73","Wuppertal","Nordrhein-Westfalen","2052","88","4.28849902534113","2020-10-11"
"74","Kleve","Nordrhein-Westfalen","1252","37","2.95527156549521","2020-10-11"
"75","Mettmann","Nordrhein-Westfalen","2283","88","3.85457731055629","2020-10-11"
"76","Rhein-Kreis Neuss","Nordrhein-Westfalen","1557","26","1.66987797045601","2020-10-11"
"77","Viersen","Nordrhein-Westfalen","1110","37","3.33333333333333","2020-10-11"
"78","Wesel","Nordrhein-Westfalen","1505","32","2.12624584717608","2020-10-11"
"79","Bonn","Nordrhein-Westfalen","1421","9","0.633356790992259","2020-10-11"
"80","Köln","Nordrhein-Westfalen","5954","127","2.13301981860934","2020-10-11"
"81","Leverkusen","Nordrhein-Westfalen","674","9","1.3353115727003","2020-10-11"
"82","Städteregion Aachen","Nordrhein-Westfalen","3029","109","3.59854737537141","2020-10-11"
"83","Düren","Nordrhein-Westfalen","1118","42","3.7567084078712","2020-10-11"
"84","Rhein-Erft-Kreis","Nordrhein-Westfalen","2002","80","3.996003996004","2020-10-11"
"85","Euskirchen","Nordrhein-Westfalen","801","27","3.37078651685393","2020-10-11"
"86","Heinsberg","Nordrhein-Westfalen","2231","95","4.25818018825639","2020-10-11"
"87","Oberbergischer Kreis","Nordrhein-Westfalen","998","19","1.90380761523046","2020-10-11"
"88","Rheinisch-Bergischer Kreis","Nordrhein-Westfalen","878","22","2.50569476082005","2020-10-11"
"89","Rhein-Sieg-Kreis","Nordrhein-Westfalen","2394","54","2.25563909774436","2020-10-11"
"90","Bottrop","Nordrhein-Westfalen","401","7","1.74563591022444","2020-10-11"
"91","Gelsenkirchen","Nordrhein-Westfalen","1347","19","1.4105419450631","2020-10-11"
"92","Münster","Nordrhein-Westfalen","1209","13","1.0752688172043","2020-10-11"
"93","Borken","Nordrhein-Westfalen","1479","38","2.56930358350237","2020-10-11"
"94","Coesfeld","Nordrhein-Westfalen","1048","25","2.38549618320611","2020-10-11"
"95","Recklinghausen","Nordrhein-Westfalen","2691","47","1.74656261612783","2020-10-11"
