"ObjectId","Landkreis","Bundesland","Infektionen","Infektionsrate","Neuinfektionen pro 100k EW","Todesfälle","Letalitätsrate","Aktualisiert"
"1","Flensburg","Schleswig-Holstein","125","0.139658562745799","139.658562745799","3","2.4","2020-10-04"
"2","Kiel","Schleswig-Holstein","474","0.191478016384701","191.478016384701","12","2.53164556962025","2020-10-04"
"3","Lübeck","Schleswig-Holstein","297","0.136741590622381","136.741590622381","1","0.336700336700337","2020-10-04"
"4","Neumünster","Schleswig-Holstein","170","0.213871450677469","213.871450677469","3","1.76470588235294","2020-10-04"
"5","Dithmarschen","Schleswig-Holstein","211","0.15839651677802","158.39651677802","5","2.3696682464455","2020-10-04"
"6","Herzogtum Lauenburg","Schleswig-Holstein","363","0.184017357449915","184.017357449915","18","4.95867768595041","2020-10-04"
"7","Nordfriesland","Schleswig-Holstein","142","0.0857969753545167","85.7969753545167","2","1.40845070422535","2020-10-04"
"8","Ostholstein","Schleswig-Holstein","142","0.0707943424352257","70.7943424352257","0","0.0","2020-10-04"
"9","Pinneberg","Schleswig-Holstein","893","0.28404120983107","284.04120983107","47","5.26315789473684","2020-10-04"
"10","Plön","Schleswig-Holstein","168","0.13058990882026","130.58990882026","8","4.76190476190476","2020-10-04"
"11","Rendsburg-Eckernförde","Schleswig-Holstein","363","0.133076711575474","133.076711575474","14","3.85674931129477","2020-10-04"
"12","Schleswig-Flensburg","Schleswig-Holstein","197","0.0984876890388701","98.4876890388701","4","2.03045685279188","2020-10-04"
"13","Segeberg","Schleswig-Holstein","480","0.173892881984697","173.892881984697","7","1.45833333333333","2020-10-04"
"14","Steinburg","Schleswig-Holstein","227","0.172824655302367","172.824655302367","3","1.3215859030837","2020-10-04"
"15","Stormarn","Schleswig-Holstein","662","0.272208424480666","272.208424480666","35","5.28700906344411","2020-10-04"
"16","Hamburg","Hamburg","8176","0.444063287708582","444.063287708582","272","3.32681017612524","2020-10-04"
"17","Braunschweig","Niedersachsen","490","0.197348283472685","197.348283472685","18","3.6734693877551","2020-10-04"
"18","Salzgitter","Niedersachsen","268","0.255364561497122","255.364561497122","10","3.73134328358209","2020-10-04"
"19","Wolfsburg","Niedersachsen","451","0.363267311580253","363.267311580253","53","11.7516629711752","2020-10-04"
"20","Gifhorn","Niedersachsen","256","0.145520691223283","145.520691223283","5","1.953125","2020-10-04"
"21","Goslar","Niedersachsen","317","0.231363218357248","231.363218357248","27","8.51735015772871","2020-10-04"
"22","Helmstedt","Niedersachsen","174","0.190565893085963","190.565893085963","2","1.14942528735632","2020-10-04"
"23","Northeim","Niedersachsen","184","0.138590743042217","138.590743042217","6","3.26086956521739","2020-10-04"
"24","Peine","Niedersachsen","287","0.214235061396633","214.235061396633","12","4.18118466898955","2020-10-04"
"25","Wolfenbüttel","Niedersachsen","236","0.19673224408136","196.73224408136","14","5.93220338983051","2020-10-04"
"26","Göttingen","Niedersachsen","1460","0.445021550016155","445.021550016155","79","5.41095890410959","2020-10-04"
"27","Region Hannover","Niedersachsen","4451","0.38449444724712","384.49444724712","133","2.98809256346888","2020-10-04"
